date,feature_index,avg(band_0),stddev_samp(band_0),"percentile_approx(band_0, 0.25, 100000)","percentile_approx(band_0, 0.5, 100000)","percentile_approx(band_0, 0.75, 100000)"
2021-04-11T00:00:00.000Z,0,10186.587292565604,5274.807965099269,6229,9903,13813
2021-08-11T00:00:00.000Z,0,12906.307397026936,5933.683273129975,8634,12233,16724
2021-06-11T00:00:00.000Z,0,14675.552815980325,5439.706557540957,10932,14127,17982
2021-08-01T00:00:00.000Z,0,12761.174661608722,5791.241733899175,8593,12137,16248
2021-05-21T00:00:00.000Z,0,16469.31870874668,6400.008030911998,11909,16288,21061
2021-09-11T00:00:00.000Z,0,10925.218710919338,5755.496991675547,6884,9909,13875
2021-06-21T00:00:00.000Z,0,13516.266081787488,5351.273846896136,9625,12953,16854
2021-03-21T00:00:00.000Z,0,5600.987890480722,3313.2854403123624,3082,5335,7717
2021-07-11T00:00:00.000Z,0,12588.20506315913,5498.263333378876,8518,12239,16222
2021-04-01T00:00:00.000Z,0,7828.220202230884,4353.947000129755,4525,7548,10733
2021-07-21T00:00:00.000Z,0,12576.155700399335,5705.358645209399,8289,11979,16215
2021-05-11T00:00:00.000Z,0,15971.603743921993,6570.301253089414,11247,15714,20818
2021-03-11T00:00:00.000Z,0,4100.76815059118,2523.272602351146,2198,3850,5647
2021-06-01T00:00:00.000Z,0,15894.734071167542,5851.757521613616,11872,15692,19767
2021-04-21T00:00:00.000Z,0,12547.043210665137,5966.671850648277,8136,12268,16789
2021-05-01T00:00:00.000Z,0,14581.346581324713,6399.2077657554455,9929,14311,19230
2021-07-01T00:00:00.000Z,0,12849.540777724185,5352.452018411896,8895,12481,16320
2021-09-01T00:00:00.000Z,0,12042.271047611599,6118.567066232842,7717,11000,15398
2021-08-21T00:00:00.000Z,0,12751.049555691709,6148.816827428976,8301,11835,16526
2021-03-01T00:00:00.000Z,0,3089.8016573025166,1927.6707686887482,1655,2879,4241
2021-09-21T00:00:00.000Z,0,9470.840739919959,5133.989482054296,5930,8538,12019
